date,ron95_vung1,is_update_day
2022-04-04,28150,0
2022-04-05,28150,0
2022-04-06,28150,0
2022-04-07,28150,0
2022-04-08,28150,0
2022-04-09,28150,0
2022-04-10,28150,0
2022-04-11,28150,0
2022-04-12,27310,1
2022-04-13,27310,0
2022-04-14,27310,0
2022-04-15,27310,0
2022-04-16,27310,0
2022-04-17,27310,0
2022-04-18,27310,0
2022-04-19,27310,0
2022-04-20,27310,0
2022-04-21,27990,1
2022-04-22,27990,0
2022-04-23,27990,0
2022-04-24,27990,0
2022-04-25,27990,0
2022-04-26,27990,0
2022-04-27,27990,0
2022-04-28,27990,0
2022-04-29,27990,0
2022-04-30,27990,0
2022-05-01,27990,0
2022-05-02,27990,0
2022-05-03,27990,0
2022-05-04,28430,1
2022-05-05,28430,0
2022-05-06,28430,0
2022-05-07,28430,0
2022-05-08,28430,0
2022-05-09,28430,0
2022-05-10,28430,0
2022-05-11,29980,1
2022-05-12,29980,0
2022-05-13,29980,0
2022-05-14,29980,0
2022-05-15,29980,0
2022-05-16,29980,0
2022-05-17,29980,0
2022-05-18,29980,0
2022-05-19,29980,0
2022-05-20,29980,0
2022-05-21,29980,0
2022-05-22,29980,0
2022-05-23,30650,1
2022-05-24,30650,0
2022-05-25,30650,0
2022-05-26,30650,0
2022-05-27,30650,0
2022-05-28,30650,0
2022-05-29,30650,0
2022-05-30,30650,0
2022-05-31,30650,0
2022-06-01,31570,1
2022-06-02,31570,0
2022-06-03,31570,0
2022-06-04,31570,0
2022-06-05,31570,0
2022-06-06,31570,0
2022-06-07,31570,0
2022-06-08,31570,0
2022-06-09,31570,0
2022-06-10,31570,0
2022-06-11,31570,0
2022-06-12,31570,0
2022-06-13,32370,1
2022-06-14,32370,0
2022-06-15,32370,0
2022-06-16,32370,0
2022-06-17,32370,0
2022-06-18,32370,0
2022-06-19,32370,0
2022-06-20,32370,0
2022-06-21,32870,1
2022-06-22,32870,0
2022-06-23,32870,0
2022-06-24,32870,0
2022-06-25,32870,0
2022-06-26,32870,0
2022-06-27,32870,0
2022-06-28,32870,0
2022-06-29,32870,0
2022-06-30,32870,0
2022-07-01,32760,1
2022-07-02,32760,0
2022-07-03,32760,0
2022-07-04,32760,0
2022-07-05,32760,0
2022-07-06,32760,0
2022-07-07,32760,0
2022-07-08,32760,0
2022-07-09,32760,0
2022-07-10,32760,0
2022-07-11,29670,1
2022-07-12,29670,0
2022-07-13,29670,0
2022-07-14,29670,0
2022-07-15,29670,0
2022-07-16,29670,0
2022-07-17,29670,0
2022-07-18,29670,0
2022-07-19,29670,0
2022-07-20,29670,0
2022-07-21,26070,1
2022-07-22,26070,0
2022-07-23,26070,0
2022-07-24,26070,0
2022-07-25,26070,0
2022-07-26,26070,0
2022-07-27,26070,0
2022-07-28,26070,0
2022-07-29,26070,0
2022-07-30,26070,0
2022-07-31,26070,0
2022-08-01,25600,1
2022-08-02,25600,0
2022-08-03,25600,0
2022-08-04,25600,0
2022-08-05,25600,0
2022-08-06,25600,0
2022-08-07,25600,0
2022-08-08,25600,0
2022-08-09,25600,0
2022-08-10,25600,0
2022-08-11,24660,1
2022-08-12,24660,0
2022-08-13,24660,0
2022-08-14,24660,0
2022-08-15,24660,0
2022-08-16,24660,0
2022-08-17,24660,0
2022-08-18,24660,0
2022-08-19,24660,0
2022-08-20,24660,0
2022-08-21,24660,0
2022-08-22,24660,1
2022-08-23,24660,0
2022-08-24,24660,0
2022-08-25,24660,0
2022-08-26,24660,0
2022-08-27,24660,0
2022-08-28,24660,0
2022-08-29,24660,0
2022-08-30,24660,0
2022-08-31,24660,0
2022-09-01,24660,0
2022-09-02,24660,0
2022-09-03,24660,0
2022-09-04,24660,0
2022-09-05,24230,1
2022-09-06,24230,0
2022-09-07,24230,0
2022-09-08,24230,0
2022-09-09,24230,0
2022-09-10,24230,0
2022-09-11,24230,0
2022-09-12,23210,1
2022-09-13,23210,0
2022-09-14,23210,0
2022-09-15,23210,0
2022-09-16,23210,0
2022-09-17,23210,0
2022-09-18,23210,0
2022-09-19,23210,0
2022-09-20,23210,0
2022-09-21,22580,1
2022-09-22,22580,0
2022-09-23,22580,0
2022-09-24,22580,0
2022-09-25,22580,0
2022-09-26,22580,0
2022-09-27,22580,0
2022-09-28,22580,0
2022-09-29,22580,0
2022-09-30,22580,0
2022-10-01,22580,0
2022-10-02,22580,0
2022-10-03,21440,1
2022-10-04,21440,0
2022-10-05,21440,0
2022-10-06,21440,0
2022-10-07,21440,0
2022-10-08,21440,0
2022-10-09,21440,0
2022-10-10,21440,0
2022-10-11,22000,1
2022-10-12,22000,0
2022-10-13,22000,0
2022-10-14,22000,0
2022-10-15,22000,0
2022-10-16,22000,0
2022-10-17,22000,0
2022-10-18,22000,0
2022-10-19,22000,0
2022-10-20,22000,0
2022-10-21,22340,1
2022-10-22,22340,0
2022-10-23,22340,0
2022-10-24,22340,0
2022-10-25,22340,0
2022-10-26,22340,0
2022-10-27,22340,0
2022-10-28,22340,0
2022-10-29,22340,0
2022-10-30,22340,0
2022-10-31,22340,0
2022-11-01,22750,1
2022-11-02,22750,0
2022-11-03,22750,0
2022-11-04,22750,0
2022-11-05,22750,0
2022-11-06,22750,0
2022-11-07,22750,0
2022-11-08,22750,0
2022-11-09,22750,0
2022-11-10,22750,0
2022-11-11,23860,1
2022-11-12,23860,0
2022-11-13,23860,0
2022-11-14,23860,0
2022-11-15,23860,0
2022-11-16,23860,0
2022-11-17,23860,0
2022-11-18,23860,0
2022-11-19,23860,0
2022-11-20,23860,0
2022-11-21,23780,1
2022-11-22,23780,0
2022-11-23,23780,0
2022-11-24,23780,0
2022-11-25,23780,0
2022-11-26,23780,0
2022-11-27,23780,0
2022-11-28,23780,0
2022-11-29,23780,0
2022-11-30,23780,0
2022-12-01,22700,1
2022-12-02,22700,0
2022-12-03,22700,0
2022-12-04,22700,0
2022-12-05,22700,0
2022-12-06,22700,0
2022-12-07,22700,0
2022-12-08,22700,0
2022-12-09,22700,0
2022-12-10,22700,0
2022-12-11,22700,0
2022-12-12,21200,1
2022-12-13,21200,0
2022-12-14,21200,0
2022-12-15,21200,0
2022-12-16,21200,0
2022-12-17,21200,0
2022-12-18,21200,0
2022-12-19,21200,0
2022-12-20,21200,0
2022-12-21,20700,1
2022-12-22,20700,0
2022-12-23,20700,0
2022-12-24,20700,0
2022-12-25,20700,0
2022-12-26,20700,0
2022-12-27,20700,0
2022-12-28,20700,0
2022-12-29,20700,0
2022-12-30,20700,0
2022-12-31,20700,0
2023-01-01,21800,1
2023-01-02,21800,0
2023-01-03,22590,1
2023-01-04,22590,0
2023-01-05,22590,0
2023-01-06,22590,0
2023-01-07,22590,0
2023-01-08,22590,0
2023-01-09,22590,0
2023-01-10,22590,0
2023-01-11,22150,1
2023-01-12,22150,0
2023-01-13,22150,0
2023-01-14,22150,0
2023-01-15,22150,0
2023-01-16,22150,0
2023-01-17,22150,0
2023-01-18,22150,0
2023-01-19,22150,0
2023-01-20,22150,0
2023-01-21,22150,0
2023-01-22,22150,0
2023-01-23,22150,0
2023-01-24,22150,0
2023-01-25,22150,0
2023-01-26,22150,0
2023-01-27,22150,0
2023-01-28,22150,0
2023-01-29,22150,0
2023-01-30,23140,1
2023-01-31,23140,0
2023-02-01,23140,0
2023-02-02,23140,0
2023-02-03,23140,0
2023-02-04,23140,0
2023-02-05,23140,0
2023-02-06,23140,0
2023-02-07,23140,0
2023-02-08,23140,0
2023-02-09,23140,0
2023-02-10,23140,0
2023-02-11,23140,0
2023-02-12,23140,0
2023-02-13,23760,1
2023-02-14,23760,0
2023-02-15,23760,0
2023-02-16,23760,0
