effective_date,source_url,price_image_url,ron95_vung1
9/10/2021,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-10-9-2021.html,https://files.petrolimex.com.vn/pngs/6783dc1271ff449e95b74a9520964169/9c857d92b3e64159864d7e64f0564557/Gia%2010.9.2021.png,21 390
9/25/2021,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-25-9-2021.html,https://files.petrolimex.com.vn/pngs/6783dc1271ff449e95b74a9520964169/003c6a3b47f44fe3bbe0199aebccd4c5/image.png,21 940
10/11/2021,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-11-10-2021.html,https://files.petrolimex.com.vn/pngs/6783dc1271ff449e95b74a9520964169/d534be8c9a764dd0a3b20c47028fff88/Gia%2011.10.2021.png,22 870
10/26/2021,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-dieu-chinh-gia-xang-dau-tu-16-gio-00-ngay-26-10-2021.html,https://files.petrolimex.com.vn/pngs/6783dc1271ff449e95b74a9520964169/dce7f013e849492d92752a89ca1ba1e3/Gia%2026.10.2021.png,24 330
11/10/2021,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-10-11-2021.html,https://files.petrolimex.com.vn/pngs/6783dc1271ff449e95b74a9520964169/6dd60cd17eae4215940ad3f0d1b3ee63/Gia%2010.11.2021.png,24 990
11/25/2021,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-25-11-2021.html,https://files.petrolimex.com.vn/pngs/6783dc1271ff449e95b74a9520964169/5edf99cecd2941039602984b25aa2b12/Gia%2025.11.2021.png,23 900
12/10/2021,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-10-12-2021.html,https://files.petrolimex.com.vn/pngs/6783dc1271ff449e95b74a9520964169/d097802f2cc14753abe4162b4ad354b4/Gia%2010.12.2021.png,22 800
12/25/2021,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-25-12-2021.html,https://files.petrolimex.com.vn/jpgs/6783dc1271ff449e95b74a9520964169/b90c24eca9b14dc08b47d9665aea55f4/Giabanle.jpg,
1/11/2022,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-11-01-2022.html,https://files.petrolimex.com.vn/pngs/6783dc1271ff449e95b74a9520964169/328ff7348ec84ac7b0740c94560f383d/Gia%2011.01.2022.png,23 870
1/21/2022,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-21-01-2022.html,https://files.petrolimex.com.vn/pngs/6783dc1271ff449e95b74a9520964169/ebc7372b027448d69e8e6d198370a054/Gia%2021.01.2022.png,24 360
2/11/2022,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-11-02-2022.html,https://files.petrolimex.com.vn/images/6783dc1271ff449e95b74a9520964169/2488e6619dde4ad6a29a280898892034/Gia%2011.2.2022.png,25 320
2/11/2022,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-11-02-2022.html,https://files.petrolimex.com.vn/pngs/6783dc1271ff449e95b74a9520964169/2488e6619dde4ad6a29a280898892034/Gia%2011.2.2022.png,25 320
2/21/2022,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-21-02-2022.html,https://files.petrolimex.com.vn/pngs/6783dc1271ff449e95b74a9520964169/29402ee0e015427f982908df8aedc041/Gia%2021.2.2022.png,26 280
3/1/2022,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-01-03-2022.html,https://files.petrolimex.com.vn/jpgs/6783dc1271ff449e95b74a9520964169/35728c31f991430ca1a862f0427f7360/32.jpg,26 830
3/11/2022,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-11-03-2022.html,https://files.petrolimex.com.vn/pngs/6783dc1271ff449e95b74a9520964169/da1de1f67fa6486cb4e894f9bd248c8a/Gia%2011.3.2022.png,29 820
3/21/2022,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-21-3-2022.html,https://files.petrolimex.com.vn/pngs/6783dc1271ff449e95b74a9520964169/685f3e454571427ebf1d42798e35f2f7/Gia%2021.3.2022.png,29 190
4/1/2022,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-dieu-chinh-gia-xang-dau-tu-00-gio-00-ngay-01-4-2022.html,https://files.petrolimex.com.vn/pngs/6783dc1271ff449e95b74a9520964169/bdc5add95f344b93af66681ef70fa3e1/Gia%2001.4.2022.png,28 150
4/12/2022,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-12-04-2022.html,https://files.petrolimex.com.vn/jpgs/6783dc1271ff449e95b74a9520964169/85da02bff2354cce9cf45257bc35cfb7/1.jpg,27 310
4/21/2022,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-21-4-2022.html,https://files.petrolimex.com.vn/pngs/6783dc1271ff449e95b74a9520964169/d2e8311aae6c44b19284798214aea718/Gia%2021.4.2022.png,27 990
5/4/2022,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-04-5-2022.html,https://files.petrolimex.com.vn/pngs/6783dc1271ff449e95b74a9520964169/5b8b888cf3e84170a376629cdcaf22c0/Gia%2004.5.2022.png,28 430
5/11/2022,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-11-5-2022.html,https://files.petrolimex.com.vn/pngs/6783dc1271ff449e95b74a9520964169/aba42072edc34a1792686d2b0572d478/Gia%2011.5.2022.png,29 980
